id_sampling_point;date_sample_collect;precision_date;id_level_1;level_1_scale_obs;id_level_2;level_2_scale_obs;id_level_3;level_3_scale_obs;country_code;main_prog_name;additional_name;data_type;id_sample;macrof_sampl_obs_meth;macrofauna_nb_samples;macrofauna_extract_duration;macrofauna_sampling_met_iso;macrof_sampled_each_subsample;macrofauna_exposit_time_traps
2022-10-01_M_SE_SLU1_T-ST-MN_B-2_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;ST-MN;T;2;B;NA;P;SE;slu1;MINOTAUR;Metadata Macrofauna;2022-10-01_M_SE_SLU1_T-ST-MN_B-2_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_SE_SLU1_T-ST-MN_B-3_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;ST-MN;T;3;B;NA;P;SE;slu1;MINOTAUR;Metadata Macrofauna;2022-10-01_M_SE_SLU1_T-ST-MN_B-3_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_SE_SLU2_T-ST-MN_B-1_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;ST-MN;T;1;B;NA;P;SE;slu2;MINOTAUR;Metadata Macrofauna;2022-10-01_M_SE_SLU2_T-ST-MN_B-1_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_SE_SLU2_T-ST-MN_B-2_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;ST-MN;T;2;B;NA;P;SE;slu2;MINOTAUR;Metadata Macrofauna;2022-10-01_M_SE_SLU2_T-ST-MN_B-2_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_SE_SLU2_T-ST-MN_B-3_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;ST-MN;T;3;B;NA;P;SE;slu2;MINOTAUR;Metadata Macrofauna;2022-10-01_M_SE_SLU2_T-ST-MN_B-3_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_SE_SLU2_T-ST-MN_B-4_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;ST-MN;T;4;B;NA;P;SE;slu2;MINOTAUR;Metadata Macrofauna;2022-10-01_M_SE_SLU2_T-ST-MN_B-4_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_SE_SLU2_T-ST-NF_B-1_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;ST-NF;T;1;B;NA;P;SE;slu2;MINOTAUR;Metadata Macrofauna;2022-10-01_M_SE_SLU2_T-ST-NF_B-1_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_SE_SLU2_T-ST-NF_B-2_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;ST-NF;T;2;B;NA;P;SE;slu2;MINOTAUR;Metadata Macrofauna;2022-10-01_M_SE_SLU2_T-ST-NF_B-2_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_SE_SLU2_T-ST-NF_B-3_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;ST-NF;T;3;B;NA;P;SE;slu2;MINOTAUR;Metadata Macrofauna;2022-10-01_M_SE_SLU2_T-ST-NF_B-3_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_SE_SLU2_T-ST-NF_B-4_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;ST-NF;T;4;B;NA;P;SE;slu2;MINOTAUR;Metadata Macrofauna;2022-10-01_M_SE_SLU2_T-ST-NF_B-4_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_SE_SLU2_T-ST-OG_B-1_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;ST-OG;T;1;B;NA;P;SE;slu2;MINOTAUR;Metadata Macrofauna;2022-10-01_M_SE_SLU2_T-ST-OG_B-1_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_SE_SLU2_T-ST-OG_B-2_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;ST-OG;T;2;B;NA;P;SE;slu2;MINOTAUR;Metadata Macrofauna;2022-10-01_M_SE_SLU2_T-ST-OG_B-2_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_SE_SLU2_T-ST-OG_B-3_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;ST-OG;T;3;B;NA;P;SE;slu2;MINOTAUR;Metadata Macrofauna;2022-10-01_M_SE_SLU2_T-ST-OG_B-3_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_SE_SLU2_T-ST-OG_B-4_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;ST-OG;T;4;B;NA;P;SE;slu2;MINOTAUR;Metadata Macrofauna;2022-10-01_M_SE_SLU2_T-ST-OG_B-4_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_SI_ULBF_T-NT-MN_B-1_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;NT-MN;T;1;B;NA;P;SI;ulbf;MINOTAUR;Metadata Macrofauna;2022-10-01_M_SI_ULBF_T-NT-MN_B-1_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_SI_ULBF_T-NT-MN_B-2_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;NT-MN;T;2;B;NA;P;SI;ulbf;MINOTAUR;Metadata Macrofauna;2022-10-01_M_SI_ULBF_T-NT-MN_B-2_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_SI_ULBF_T-NT-MN_B-3_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;NT-MN;T;3;B;NA;P;SI;ulbf;MINOTAUR;Metadata Macrofauna;2022-10-01_M_SI_ULBF_T-NT-MN_B-3_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_SI_ULBF_T-NT-OG_B-1_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;NT-OG;T;1;B;NA;P;SI;ulbf;MINOTAUR;Metadata Macrofauna;2022-10-01_M_SI_ULBF_T-NT-OG_B-1_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_SI_ULBF_T-NT-OG_B-2_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;NT-OG;T;2;B;NA;P;SI;ulbf;MINOTAUR;Metadata Macrofauna;2022-10-01_M_SI_ULBF_T-NT-OG_B-2_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_SI_ULBF_T-NT-OG_B-3_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;NT-OG;T;3;B;NA;P;SI;ulbf;MINOTAUR;Metadata Macrofauna;2022-10-01_M_SI_ULBF_T-NT-OG_B-3_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_SI_ULBF_T-ST-MN_B-1_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;ST-MN;T;1;B;NA;P;SI;ulbf;MINOTAUR;Metadata Macrofauna;2022-10-01_M_SI_ULBF_T-ST-MN_B-1_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_SI_ULBF_T-ST-MN_B-2_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;ST-MN;T;2;B;NA;P;SI;ulbf;MINOTAUR;Metadata Macrofauna;2022-10-01_M_SI_ULBF_T-ST-MN_B-2_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_SI_ULBF_T-ST-MN_B-3_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;ST-MN;T;3;B;NA;P;SI;ulbf;MINOTAUR;Metadata Macrofauna;2022-10-01_M_SI_ULBF_T-ST-MN_B-3_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_SI_ULBF_T-ST-NF_B-1_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;ST-NF;T;1;B;NA;P;SI;ulbf;MINOTAUR;Metadata Macrofauna;2022-10-01_M_SI_ULBF_T-ST-NF_B-1_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_SI_ULBF_T-ST-NF_B-2_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;ST-NF;T;2;B;NA;P;SI;ulbf;MINOTAUR;Metadata Macrofauna;2022-10-01_M_SI_ULBF_T-ST-NF_B-2_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_SI_ULBF_T-ST-NF_B-3_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;ST-NF;T;3;B;NA;P;SI;ulbf;MINOTAUR;Metadata Macrofauna;2022-10-01_M_SI_ULBF_T-ST-NF_B-3_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_SI_ULBF_T-ST-OG_B-1_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;ST-OG;T;1;B;NA;P;SI;ulbf;MINOTAUR;Metadata Macrofauna;2022-10-01_M_SI_ULBF_T-ST-OG_B-1_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_SI_ULBF_T-ST-OG_B-2_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;ST-OG;T;2;B;NA;P;SI;ulbf;MINOTAUR;Metadata Macrofauna;2022-10-01_M_SI_ULBF_T-ST-OG_B-2_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_SI_ULBF_T-ST-OG_B-3_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;ST-OG;T;3;B;NA;P;SI;ulbf;MINOTAUR;Metadata Macrofauna;2022-10-01_M_SI_ULBF_T-ST-OG_B-3_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_NL_WUR_T-RT-MN_B-1_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;RT-MN;T;1;B;NA;P;NL;wur;MINOTAUR;Metadata Macrofauna;2022-10-01_M_NL_WUR_T-RT-MN_B-1_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_NL_WUR_T-RT-MN_B-2_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;RT-MN;T;2;B;NA;P;NL;wur;MINOTAUR;Metadata Macrofauna;2022-10-01_M_NL_WUR_T-RT-MN_B-2_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_NL_WUR_T-RT-MN_B-3_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;RT-MN;T;3;B;NA;P;NL;wur;MINOTAUR;Metadata Macrofauna;2022-10-01_M_NL_WUR_T-RT-MN_B-3_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_NL_WUR_T-RT-MN_B-4_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;RT-MN;T;4;B;NA;P;NL;wur;MINOTAUR;Metadata Macrofauna;2022-10-01_M_NL_WUR_T-RT-MN_B-4_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_NL_WUR_T-NT-MN_B-1_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;NT-MN;T;1;B;NA;P;NL;wur;MINOTAUR;Metadata Macrofauna;2022-10-01_M_NL_WUR_T-NT-MN_B-1_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_NL_WUR_T-NT-MN_B-2_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;NT-MN;T;2;B;NA;P;NL;wur;MINOTAUR;Metadata Macrofauna;2022-10-01_M_NL_WUR_T-NT-MN_B-2_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_NL_WUR_T-NT-MN_B-3_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;NT-MN;T;3;B;NA;P;NL;wur;MINOTAUR;Metadata Macrofauna;2022-10-01_M_NL_WUR_T-NT-MN_B-3_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_NL_WUR_T-NT-MN_B-4_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;NT-MN;T;4;B;NA;P;NL;wur;MINOTAUR;Metadata Macrofauna;2022-10-01_M_NL_WUR_T-NT-MN_B-4_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_NL_WUR_T-ST-MN_B-1_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;ST-MN;T;1;B;NA;P;NL;wur;MINOTAUR;Metadata Macrofauna;2022-10-01_M_NL_WUR_T-ST-MN_B-1_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_NL_WUR_T-ST-MN_B-2_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;ST-MN;T;2;B;NA;P;NL;wur;MINOTAUR;Metadata Macrofauna;2022-10-01_M_NL_WUR_T-ST-MN_B-2_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_NL_WUR_T-ST-MN_B-3_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;ST-MN;T;3;B;NA;P;NL;wur;MINOTAUR;Metadata Macrofauna;2022-10-01_M_NL_WUR_T-ST-MN_B-3_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01_M_NL_WUR_T-ST-MN_B-4_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;ST-MN;T;4;B;NA;P;NL;wur;MINOTAUR;Metadata Macrofauna;2022-10-01_M_NL_WUR_T-ST-MN_B-4_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01-M_SE_SLU2_T-ST-NF_B-3_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;ST-NF;T;3;B;NA;P;SE;slu2;MINOTAUR;Metadata Macrofauna;2022-10-01-M_SE_SLU2_T-ST-NF_B-3_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01-M_SE_SLU2_T-ST-NF_B-4_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;ST-NF;T;4;B;NA;P;SE;slu2;MINOTAUR;Metadata Macrofauna;2022-10-01-M_SE_SLU2_T-ST-NF_B-4_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01-M_SE_SLU2_T-ST-OG_B-1_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;ST-OG;T;1;B;NA;P;SE;slu2;MINOTAUR;Metadata Macrofauna;2022-10-01-M_SE_SLU2_T-ST-OG_B-1_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01-M_SE_SLU2_T-ST-OG_B-2_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;ST-OG;T;2;B;NA;P;SE;slu2;MINOTAUR;Metadata Macrofauna;2022-10-01-M_SE_SLU2_T-ST-OG_B-2_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2021-04-01-M_FR_OASYS_T-M1_B-NA_P-NA;date:2021-04-01T00:00:00:yyyy-MM-dd;M;M1;T;NA;B;NA;P;FR;oasys;;Metadata Macrofauna;2021-04-01-M_FR_OASYS_T-M1_B-NA_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;4.0;60;;10000.0;
2013-04-01-M_DE_JKIVineyardCopperStudy_F-RG03_B-NA_P-meadow4;date:2013-04-01T00:00:00:yyyy-MM-dd;M;RG03;F;NA;B;meadow4;P;DE;jkivineyardcopperstudy;;Metadata Macrofauna;2013-04-01-M_DE_JKIVineyardCopperStudy_F-RG03_B-NA_P-meadow4_Metadata Macrofauna;combination_of_several_sampling_techniques;4.0;;23611-1 (2006);2500.0;
2017-06-13-D_SE_Säby LTE in Torppa2022_T-diverseCT_B-1_P-1;date:2017-06-13T00:00:00:yyyy-MM-dd;D;diverseCT;T;1;B;1;P;SE;saby_lte_in_torppa2022;SLU1;Metadata Macrofauna;2017-06-13-D_SE_Säby LTE in Torppa2022_T-diverseCT_B-1_P-1_Metadata Macrofauna;combination_of_several_sampling_techniques;4.0;30;;900.0;
2017-06-13-D_SE_Säby LTE in Torppa2022_T-diverseCT_B-1_P-2;date:2017-06-13T00:00:00:yyyy-MM-dd;D;diverseCT;T;1;B;2;P;SE;saby_lte_in_torppa2022;SLU1;Metadata Macrofauna;2017-06-13-D_SE_Säby LTE in Torppa2022_T-diverseCT_B-1_P-2_Metadata Macrofauna;combination_of_several_sampling_techniques;4.0;30;;900.0;
