id_sampling_point;date_sample_collection;precision_date;data_type;id_sample;id_level_1;id_level_2;id_level_3;country_code;main_prog_name;type_of_sample;additional_name;fungi_ace_index;amf_spore_density;fungi_chao1_index;level_1_scale_obs;level_2_scale_obs;level_3_scale_obs;fungi_fisher_alpha;fungi_shannon_index;fungi_simpson_index;fungi_evenness_index;fungi_richness_index;fungi_number_amf_taxon;fungi_index_shan_logbase;mucor_relative_abundance;phoma_relative_abundance;apodus_relative_abundance;amf_phylogenetic_diversity;fungi_evenness_index_method;fungi_inverse_simpson_index;fusarium_relative_abundance;geomyces_relative_abundance;preussia_relative_abundance;rhizopus_relative_abundance;ascobolus_relative_abundance;exophiala_relative_abundance;fungi_phylogenetic_diversity;fusicolla_relative_abundance;paraphoma_relative_abundance;periconia_relative_abundance;podospora_relative_abundance;saitozyma_relative_abundance;acremonium_relative_abundance;alternaria_relative_abundance;chaetomium_relative_abundance;gibberella_relative_abundance;minimedusa_relative_abundance;coprinellus_relative_abundance;coprinopsis_relative_abundance;metarhizium_relative_abundance;mortierella_relative_abundance;sanchytrium_relative_abundance;scutellinia_relative_abundance;stromatinia_relative_abundance;syncephalis_relative_abundance;trichoderma_relative_abundance;cladorrhinum_relative_abundance;cladosporium_relative_abundance;clonostachys_relative_abundance;lophotrichus_relative_abundance;microdochium_relative_abundance;pseudaleuria_relative_abundance;pyrenochaeta_relative_abundance;stachybotrys_relative_abundance;tetracladium_relative_abundance;gibellulopsis_relative_abundance;pseudeurotium_relative_abundance;rhizophlyctis_relative_abundance;schizothecium_relative_abundance;solicoccozyma_relative_abundance;spizellomyces_relative_abundance;trichocladium_relative_abundance;dactylonectria_relative_abundance;leptodontidium_relative_abundance;ophiosphaerella_relative_abundance;ramophialophora_relative_abundance;trichosporiella_relative_abundance;plectosphaerella_relative_abundance;pseudogymnoascus_relative_abundance;pyrenochaetopsis_relative_abundance;pseudoarthrographis_relative_abundance
2011-06-20_D_IT_VC_ROOT_T_Lowland_block_1_P_3;date:2011-06-20T00:00:00:yyyy-MM-dd;D;;VC_ROOT_Lowland_1_3;Lowland;1;3;IT;vc_root;composite;CREA-RIS_Research Centre for Cereal and Industrial Crops in Vercelli, Italy;;;79.6666666666667;T;block;P;11.1037732168399;1.76811623527876;0.437176976039156;0.437322239602903;57;;e;;0;0.000534188034188;;Pielou;2.28740316807177;0.003205128205128;;;;;;;;;;0.023504273504274;;0.000534188034188;0.006410256410256;;0.00267094017094;;;;;0.002136752136752;;;;;0.000534188034188;;;;;0;;;;0.002136752136752;0;0.003739316239316;;;;;;;;;;;;;;
2011-08-04_D_IT_VC_ROOT_T_Lowland_block_2_P_1;date:2011-08-04T00:00:00:yyyy-MM-dd;D;;VC_ROOT_Lowland_2_1;Lowland;2;1;IT;vc_root;composite;CREA-RIS_Research Centre for Cereal and Industrial Crops in Vercelli, Italy;;;57;T;block;P;9.50575718195834;1.57520045518751;0.462605591909578;0.439568056494255;36;;e;;0.007317073170732;0.002439024390244;;Pielou;2.16166863844452;0;;;;;;;;;;0.031707317073171;;0;0.009756097560976;;0;;;;;0;;;;;0;;;;;0;;;;0.007317073170732;0;0.002439024390244;;;;;;;;;;;;;;
2011-08-04_D_IT_VC_ROOT_T_Lowland_block_2_P_2;date:2011-08-04T00:00:00:yyyy-MM-dd;D;;VC_ROOT_Lowland_2_2;Lowland;2;2;IT;vc_root;composite;CREA-RIS_Research Centre for Cereal and Industrial Crops in Vercelli, Italy;;;67.6;T;block;P;11.2067355287299;1.41008408958853;0.541977927257977;0.353494542251438;54;;e;;0.008720930232558;0.022529069767442;;Pielou;1.84509359091299;0.001453488372093;;;;;;;;;;0.015988372093023;;0;0.001453488372093;;0;;;;;0;;;;;0.001453488372093;;;;;0;;;;0.010901162790698;0;0.010901162790698;;;;;;;;;;;;;;
2011-08-04_D_IT_VC_ROOT_T_Lowland_block_2_P_3;date:2011-08-04T00:00:00:yyyy-MM-dd;D;;VC_ROOT_Lowland_2_3;Lowland;2;3;IT;vc_root;composite;CREA-RIS_Research Centre for Cereal and Industrial Crops in Vercelli, Italy;;;76.7142857142857;T;block;P;14.0000409665071;1.66390137303607;0.425556910711684;0.395724854026804;67;;e;;0.013830426939266;0.000601322910403;;Pielou;2.34986196870271;0.001803968731209;;;;;;;;;;0.007215874924835;;0;0.001202645820806;;0;;;;;0;;;;;0.003006614552014;;;;;0;;;;0.010823812387252;0;0.006614552014432;;;;;;;;;;;;;;
2011-09-07_D_IT_VC_ROOT_T_Lowland_block_3_P_1;date:2011-09-07T00:00:00:yyyy-MM-dd;D;;VC_ROOT_Lowland_3_1;Lowland;3;1;IT;vc_root;composite;CREA-RIS_Research Centre for Cereal and Industrial Crops in Vercelli, Italy;;;100.75;T;block;P;9.85837851233953;1.24749020114635;0.599483998632699;0.33167344538282;43;;e;;0.006553079947575;0;;Pielou;1.66810123753227;0;;;;;;;;;;0.001310615989515;;0;0.001310615989515;;0;;;;;0;;;;;0.001310615989515;;;;;0;;;;0.009174311926606;0;0.019659239842726;;;;;;;;;;;;;;
2011-09-07_D_IT_VC_ROOT_T_Lowland_block_3_P_2;date:2011-09-07T00:00:00:yyyy-MM-dd;D;;VC_ROOT_Lowland_3_2;Lowland;3;2;IT;vc_root;composite;CREA-RIS_Research Centre for Cereal and Industrial Crops in Vercelli, Italy;;;88;T;block;P;10.3283144677226;1.15929616665483;0.630894603932142;0.291992677590712;53;;e;;0.012082853855006;0;;Pielou;1.58505080526502;0.001150747986191;;;;;;;;;;0.000575373993096;;0.004602991944764;0.004027617951669;;0;;;;;0.001150747986191;;;;;0;;;;;0;;;;0.003452243958573;0.000575373993096;0.004602991944764;;;;;;;;;;;;;;
2011-09-07_D_IT_VC_ROOT_T_Lowland_block_3_P_3;date:2011-09-07T00:00:00:yyyy-MM-dd;D;;VC_ROOT_Lowland_3_3;Lowland;3;3;IT;vc_root;composite;CREA-RIS_Research Centre for Cereal and Industrial Crops in Vercelli, Italy;;;35.5;T;block;P;9.57758955490931;2.37603529521649;0.175613981004389;0.685578867477196;32;;e;;0.011494252873563;0;;Pielou;5.69430744796456;0.003831417624521;;;;;;;;;;0.003831417624521;;0.038314176245211;0.011494252873563;;0;;;;;0.003831417624521;;;;;0;;;;;0;;;;0.011494252873563;0;0.015325670498084;;;;;;;;;;;;;;
2011-06-20_D_IT_VC_SOIL_T_Upland_block_1_P_1;date:2011-06-20T00:00:00:yyyy-MM-dd;D;;VC_SOIL_upland_1_1;Upland;1;1;IT;vc_soil;composite;CREA-RIS_Research Centre for Cereal and Industrial Crops in Vercelli, Italy;;;42.4285714285714;T;block;P;14.0558922723753;3.02394179518385;0.069252077562327;0.86484634797002;33;;e;;0.022556390977444;0;;Pielou;14.44;0.052631578947368;;;;;;;;;;0;;0;0.022556390977444;;0.022556390977444;;;;;0.052631578947368;;;;;0;;;;;0;;;;0.022556390977444;0;0.097744360902256;;;;;;;;;;;;;;
2011-06-20_D_IT_VC_SOIL_T_Upland_block_1_P_2;date:2011-06-20T00:00:00:yyyy-MM-dd;D;;VC_SOIL_upland_1_2;Upland;1;2;IT;vc_soil;composite;CREA-RIS_Research Centre for Cereal and Industrial Crops in Vercelli, Italy;;;54.5454545454545;T;block;P;16.0459438131653;3.17777789148955;0.06124094772665;0.834793707093608;45;;e;;0.032128514056225;0;;Pielou;16.3289439030814;0.072289156626506;;;;;;;;;;0.016064257028112;;0;0.008032128514056;;0.020080321285141;;;;;0.032128514056225;;;;;0;;;;;0;;;;0.012048192771084;0;0.048192771084337;;;;;;;;;;;;;;
2011-06-20_D_IT_VC_SOIL_T_Upland_block_1_P_3;date:2011-06-20T00:00:00:yyyy-MM-dd;D;;VC_SOIL_upland_1_3;Upland;1;3;IT;vc_soil;composite;CREA-RIS_Research Centre for Cereal and Industrial Crops in Vercelli, Italy;;;49.5;T;block;P;18.4702165435199;3.34399629923325;0.048117369447009;0.88907694256428;43;;e;;0;0;;Pielou;20.7825159914712;0.064327485380117;;;;;;;;;;0.029239766081871;;0.011695906432749;0;;0.064327485380117;;;;;0.011695906432749;;;;;0.011695906432749;;;;;0;;;;0.04093567251462;0;0.029239766081871;;;;;;;;;;;;;;
2011-08-04_D_IT_VC_SOIL_T_Upland_block_2_P_1;date:2011-08-04T00:00:00:yyyy-MM-dd;D;;VC_SOIL_upland_2_1;Upland;2;1;IT;vc_soil;composite;CREA-RIS_Research Centre for Cereal and Industrial Crops in Vercelli, Italy;;;79.875;T;block;P;19.4189612645596;3.29054416345586;0.056918436799407;0.83689981978572;51;;e;;0.004016064257028;0;;Pielou;17.5689997166336;0.060240963855422;;;;;;;;;;0.008032128514056;;0.004016064257028;0.008032128514056;;0.020080321285141;;;;;0.068273092369478;;;;;0.008032128514056;;;;;0;;;;0.004016064257028;0.008032128514056;0.060240963855422;;;;;;;;;;;;;;
2011-08-04_D_IT_VC_SOIL_T_Upland_block_2_P_2;date:2011-08-04T00:00:00:yyyy-MM-dd;D;;VC_SOIL_upland_2_2;Upland;2;2;IT;vc_soil;composite;CREA-RIS_Research Centre for Cereal and Industrial Crops in Vercelli, Italy;;;65;T;block;P;14.4647849025976;2.79702161673487;0.135530443582392;0.722520377746776;48;;e;;0.018181818181818;0.002597402597403;;Pielou;7.3784160485838;0.020779220779221;;;;;;;;;;0.015584415584416;;0;0.002597402597403;;0;;;;;0.007792207792208;;;;;0.012987012987013;;;;;0;;;;0.01038961038961;0;0.031168831168831;;;;;;;;;;;;;;
